config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
AL_fdb6a841926ee7bb,ActiveLearningCoverage,17,320,16,1,16,64,1664,10.3600,724.00,96.53,3.7163,0.2881,0.6458,0.8631,0.3577,2.3999,41.5358,44.6,45.0,0,1900.8,4.117,
AL_ddf5fd7ffba45117,ActiveLearningCoverage,8,640,16,1,48,48,1056,28.9200,626.00,34.58,1.6979,0.2417,0.4311,0.6184,0.1894,0.7320,10.0488,43.9,44.6,0,1900.8,4.104,
AL_69b89f7ed918828c,ActiveLearningCoverage,17,480,2,1,32,16,1504,26.4300,839.00,37.84,2.0119,0.2870,0.4588,0.7241,0.1718,0.9231,10.8037,44.3,43.6,0,1900.8,4.104,
AL_093cb9754772b2ff,ActiveLearningCoverage,26,416,12,4,16,48,2112,13.2900,1659.00,75.24,3.9916,0.3069,0.5955,0.9211,0.2886,2.3770,36.0051,43.6,45.0,0,1900.8,4.091,
AL_536cea9cf5032dc9,ActiveLearningCoverage,6,544,1,1,16,16,2592,27.1000,755.00,36.90,1.8989,0.2324,0.4484,0.6333,0.2159,0.8514,12.8146,44.6,44.3,0,1900.8,4.081,
AL_9a08b09e2342b0a9,ActiveLearningCoverage,7,608,12,1,16,16,2400,27.5600,673.00,36.28,1.7978,0.2752,0.4209,0.6528,0.1458,0.7567,8.1889,43.6,43.6,0,1900.8,4.077,
AL_f2712def3eb187b7,ActiveLearningCoverage,11,608,1,1,48,16,2048,19.0900,1363.00,52.38,2.9869,0.2623,0.5070,0.8175,0.2447,1.5144,22.8448,44.3,43.9,0,1900.8,4.072,
AL_2cd21407933d558a,ActiveLearningCoverage,4,608,12,6,32,64,2656,29.1600,491.00,34.29,1.5541,0.2517,0.4026,0.5808,0.1509,0.6257,7.3271,44.3,43.6,0,1900.8,4.065,
AL_cc8a6851b5985a07,ActiveLearningCoverage,20,416,6,1,32,16,1696,21.8800,963.00,45.70,2.3798,0.2761,0.5270,0.7626,0.2509,1.2542,18.6618,43.9,43.6,0,1900.8,4.063,
AL_b0bb3c2cadbcd4e3,ActiveLearningCoverage,18,576,8,8,16,16,1408,7.3200,804.00,136.61,5.0390,0.2676,0.6051,0.8592,0.3375,3.0490,53.1461,44.6,44.3,0,1900.8,4.048,
