config_id,suite,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,total_params_M,q8_group_size,layer_size_kb,mlp_ratio,kv_ratio,sample_idx
RND_0001,Random_50M_150M,Random_50M_150M,14,608,8,4,48,16,1376,72.266,32,3279.9,2.263,0.5,1
RND_0002,Random_50M_150M,Random_50M_150M,25,512,1,1,16,32,1152,71.249,32,2006.0,2.25,1.0,2
RND_0003,Random_50M_150M,Random_50M_150M,22,576,8,4,16,64,2784,147.001,32,5901.8,4.833,0.5,3
RND_0004,Random_50M_150M,Random_50M_150M,15,608,12,12,64,64,2240,119.896,32,6550.2,3.684,1.0,4
RND_0005,Random_50M_150M,Random_50M_150M,19,544,2,1,64,64,2560,110.731,32,4828.0,4.706,0.5,5
RND_0006,Random_50M_150M,Random_50M_150M,27,416,12,3,64,64,512,59.77,32,1586.0,1.231,0.25,6
RND_0007,Random_50M_150M,Random_50M_150M,26,448,4,1,48,16,1824,90.027,32,2857.8,4.071,0.25,7
RND_0008,Random_50M_150M,Random_50M_150M,7,640,6,6,16,32,2624,70.03,64,5620.0,4.1,1.0,8
RND_0009,Random_50M_150M,Random_50M_150M,10,576,2,1,48,48,2304,70.444,32,4565.2,4.0,0.5,9
RND_0010,Random_50M_150M,Random_50M_150M,10,640,2,1,48,16,2144,74.584,32,4667.5,3.35,0.5,10
RND_0011,Random_50M_150M,Random_50M_150M,19,608,2,1,64,64,2336,115.995,32,4947.1,3.842,0.5,11
RND_0012,Random_50M_150M,Random_50M_150M,28,384,1,1,16,64,1088,56.157,64,1370.2,2.833,1.0,12
RND_0013,Random_50M_150M,Random_50M_150M,15,544,12,2,64,16,2592,99.964,32,5325.2,4.765,0.167,13
RND_0014,Random_50M_150M,Random_50M_150M,18,352,12,6,16,48,1920,61.511,32,2678.5,5.455,0.5,14
RND_0015,Random_50M_150M,Random_50M_150M,15,416,6,1,16,64,1888,59.77,32,2851.1,4.538,0.167,15
RND_0016,Random_50M_150M,Random_50M_150M,17,512,2,2,16,16,2432,90.385,32,4184.0,4.75,1.0,16
RND_0017,Random_50M_150M,Random_50M_150M,14,480,16,8,16,16,2336,76.405,32,4108.1,4.867,0.5,17
RND_0018,Random_50M_150M,Random_50M_150M,26,480,8,4,32,64,1120,80.484,32,2386.9,2.333,0.5,18
RND_0019,Random_50M_150M,Random_50M_150M,9,480,2,2,64,32,2144,53.586,32,3601.9,4.467,1.0,19
RND_0020,Random_50M_150M,Random_50M_150M,12,448,4,1,16,16,1664,50.234,64,2401.9,3.714,0.25,20
RND_0021,Random_50M_150M,Random_50M_150M,13,416,12,2,64,16,1728,55.021,32,2887.6,4.154,0.167,21
RND_0022,Random_50M_150M,Random_50M_150M,21,384,6,1,32,64,1760,67.328,32,2517.0,4.583,0.167,22
RND_0023,Random_50M_150M,Random_50M_150M,11,608,8,2,64,16,1792,71.889,32,4134.9,2.947,0.25,23
RND_0024,Random_50M_150M,Random_50M_150M,20,480,12,6,48,16,1440,76.693,32,2893.1,3.0,0.5,24
RND_0025,Random_50M_150M,Random_50M_150M,6,576,1,1,64,64,2272,53.403,32,4484.2,3.944,1.0,25
RND_0026,Random_50M_150M,Random_50M_150M,21,480,16,4,48,64,1280,85.451,32,3213.8,2.667,0.25,26
RND_0027,Random_50M_150M,Random_50M_150M,15,544,6,3,16,64,2368,91.217,32,4684.6,4.353,0.5,27
RND_0028,Random_50M_150M,Random_50M_150M,26,640,12,3,32,16,1504,119.292,32,3688.8,2.35,0.25,28
RND_0029,Random_50M_150M,Random_50M_150M,24,544,8,2,48,32,1472,95.493,32,3125.9,2.706,0.25,29
RND_0030,Random_50M_150M,Random_50M_150M,16,544,16,4,64,64,2560,116.504,32,6128.5,4.706,0.25,30
RND_0031,Random_50M_150M,Random_50M_150M,27,320,6,3,16,64,1312,56.345,32,1641.9,4.1,0.5,31
RND_0032,Random_50M_150M,Random_50M_150M,24,480,16,16,64,48,1536,118.542,32,4327.5,3.2,1.0,32
RND_0033,Random_50M_150M,Random_50M_150M,26,352,2,1,64,16,1632,64.732,32,1991.7,4.636,0.5,33
RND_0034,Random_50M_150M,Random_50M_150M,14,608,1,1,64,32,1408,68.18,32,2959.2,2.316,1.0,34
RND_0035,Random_50M_150M,Random_50M_150M,13,640,2,1,48,64,1376,69.339,32,3148.8,2.15,0.5,35
RND_0036,Random_50M_150M,Random_50M_150M,8,640,8,1,48,32,3264,86.007,64,6990.6,5.1,0.125,36
RND_0037,Random_50M_150M,Random_50M_150M,26,448,2,1,64,16,2144,100.278,32,3290.9,4.786,0.5,37
RND_0038,Random_50M_150M,Random_50M_150M,11,544,1,1,64,48,2720,77.534,16,5576.0,5.0,1.0,38
RND_0039,Random_50M_150M,Random_50M_150M,28,608,2,2,48,64,1376,108.527,32,3066.1,2.263,1.0,39
RND_0040,Random_50M_150M,Random_50M_150M,10,640,4,2,64,16,1696,67.826,32,3925.0,2.65,0.5,40
RND_0041,Random_50M_150M,Random_50M_150M,13,512,16,16,48,16,2528,89.869,32,5426.0,4.938,1.0,41
RND_0042,Random_50M_150M,Random_50M_150M,12,512,12,1,32,16,1696,60.851,32,3221.0,3.312,0.083,42
RND_0043,Random_50M_150M,Random_50M_150M,14,640,6,3,48,32,1056,67.037,32,2743.8,1.65,0.5,43
RND_0044,Random_50M_150M,Random_50M_150M,23,576,2,2,48,64,1856,108.702,64,3604.5,3.222,1.0,44
RND_0045,Random_50M_150M,Random_50M_150M,6,608,16,8,48,32,1728,56.487,32,4754.8,2.842,0.5,45
RND_0046,Random_50M_150M,Random_50M_150M,21,512,16,1,16,48,800,63.278,32,1970.0,1.562,0.062,46
RND_0047,Random_50M_150M,Random_50M_150M,22,448,12,12,48,16,864,63.241,32,2038.8,1.929,1.0,47
RND_0048,Random_50M_150M,Random_50M_150M,20,352,2,2,48,64,1632,55.341,32,2072.1,4.636,1.0,48
RND_0049,Random_50M_150M,Random_50M_150M,16,544,8,1,32,32,2432,95.893,32,4713.2,4.471,0.125,49
RND_0050,Random_50M_150M,Random_50M_150M,16,640,8,2,32,32,1664,89.878,64,3750.0,2.6,0.25,50
RND_0051,Random_50M_150M,Random_50M_150M,12,512,16,16,32,64,2624,92.997,64,5822.0,5.125,1.0,51
RND_0052,Random_50M_150M,Random_50M_150M,8,576,16,16,16,32,2112,65.241,64,4713.8,3.667,1.0,52
RND_0053,Random_50M_150M,Random_50M_150M,23,512,4,1,32,64,1184,73.26,32,2276.0,2.312,0.25,53
RND_0054,Random_50M_150M,Random_50M_150M,21,640,4,2,32,48,2528,140.599,32,5680.0,3.95,0.5,54
RND_0055,Random_50M_150M,Random_50M_150M,14,416,16,2,64,64,2048,70.132,32,3867.5,4.923,0.125,55
RND_0056,Random_50M_150M,Random_50M_150M,28,640,1,1,64,32,832,80.406,32,1900.0,1.3,1.0,56
RND_0057,Random_50M_150M,Random_50M_150M,19,608,16,16,16,16,1088,80.138,32,2873.8,1.789,1.0,57
RND_0058,Random_50M_150M,Random_50M_150M,9,512,6,3,32,64,2624,66.006,64,4649.0,5.125,0.5,58
RND_0059,Random_50M_150M,Random_50M_150M,26,544,6,2,32,64,1152,87.141,32,2533.0,2.118,0.333,59
RND_0060,Random_50M_150M,Random_50M_150M,20,608,8,8,48,16,1504,97.923,32,3707.4,2.474,1.0,60
