config_id,suite,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,total_params_M,q8_group_size,layer_size_kb,mlp_ratio,kv_ratio,sample_idx
RND_1001,Random_50M_150M,Random_50M_150M,24,608,4,4,16,64,1760,117.0,32,3963.9,2.895,1.0,1001
RND_1002,Random_50M_150M,Random_50M_150M,22,320,4,1,16,64,1760,56.098,32,2001.9,5.5,0.25,1002
RND_1003,Random_50M_150M,Random_50M_150M,28,320,16,8,32,32,1312,65.148,32,1928.8,4.1,0.5,1003
RND_1004,Random_50M_150M,Random_50M_150M,4,576,16,4,32,64,2944,53.73,64,6435.0,5.111,0.25,1004
RND_1005,Random_50M_150M,Random_50M_150M,26,576,8,2,32,48,1184,94.184,32,2763.0,2.056,0.25,1005
RND_1006,Random_50M_150M,Random_50M_150M,23,512,8,2,48,48,1536,91.348,64,2966.0,3.0,0.25,1006
RND_1007,Random_50M_150M,Random_50M_150M,25,512,12,3,48,32,2624,141.905,64,4827.5,5.125,0.25,1007
RND_1008,Random_50M_150M,Random_50M_150M,25,416,2,1,48,64,896,52.399,32,1388.6,2.154,0.5,1008
RND_1009,Random_50M_150M,Random_50M_150M,13,416,16,16,64,32,2016,70.25,32,4174.6,4.846,1.0,1009
RND_1010,Random_50M_150M,Random_50M_150M,21,448,4,1,48,16,2464,95.108,32,3802.8,5.5,0.25,1010
RND_1011,Random_50M_150M,Random_50M_150M,16,480,4,4,16,48,2624,88.544,32,4428.8,5.467,1.0,1011
RND_1012,Random_50M_150M,Random_50M_150M,4,640,6,2,32,64,2272,51.59,32,5342.5,3.55,0.333,1012
RND_1013,Random_50M_150M,Random_50M_150M,20,384,16,16,32,48,832,58.16,64,2020.5,2.167,1.0,1013
RND_1014,Random_50M_150M,Random_50M_150M,19,640,12,12,64,64,1440,122.1,32,5207.5,2.25,1.0,1014
RND_1015,Random_50M_150M,Random_50M_150M,7,576,6,1,64,64,2336,60.834,32,5010.8,4.056,0.167,1015
RND_1016,Random_50M_150M,Random_50M_150M,21,448,2,1,16,64,1376,63.647,32,2156.9,3.071,0.5,1016
RND_1017,Random_50M_150M,Random_50M_150M,24,576,2,1,32,64,1728,104.649,64,3279.4,3.0,0.5,1017
RND_1018,Random_50M_150M,Random_50M_150M,21,384,4,4,64,48,992,50.555,32,1639.5,2.583,1.0,1018
RND_1019,Random_50M_150M,Random_50M_150M,25,576,6,2,48,48,2368,142.363,32,4990.5,4.111,0.333,1019
RND_1020,Random_50M_150M,Random_50M_150M,25,480,16,8,48,16,2336,126.7,32,4513.1,4.867,0.5,1020
RND_1021,Random_50M_150M,Random_50M_150M,27,480,1,1,64,64,1184,73.527,32,2015.6,2.467,1.0,1021
RND_1022,Random_50M_150M,Random_50M_150M,23,448,12,2,48,64,1920,98.065,64,3413.4,4.286,0.167,1022
RND_1023,Random_50M_150M,Random_50M_150M,11,608,16,4,16,16,2368,82.375,32,5182.2,3.895,0.25,1023
RND_1024,Random_50M_150M,Random_50M_150M,15,576,2,2,32,32,2208,88.426,32,4362.8,3.833,1.0,1024
RND_1025,Random_50M_150M,Random_50M_150M,17,416,4,1,16,48,2144,68.686,32,3092.4,5.154,0.25,1025
RND_1026,Random_50M_150M,Random_50M_150M,14,416,8,1,48,64,1600,54.756,32,2660.9,3.846,0.125,1026
RND_1027,Random_50M_150M,Random_50M_150M,10,576,1,1,64,64,3040,82.977,32,5942.2,5.278,1.0,1027
RND_1028,Random_50M_150M,Random_50M_150M,17,352,16,16,48,48,1760,67.693,32,3235.4,5.0,1.0,1028
RND_1029,Random_50M_150M,Random_50M_150M,26,416,1,1,48,64,1984,87.75,32,2829.1,4.769,1.0,1029
RND_1030,Random_50M_150M,Random_50M_150M,8,480,1,1,16,32,2368,51.787,32,3804.4,4.933,1.0,1030
RND_1031,Random_50M_150M,Random_50M_150M,28,480,12,1,16,48,1600,99.872,32,2977.5,3.333,0.083,1031
RND_1032,Random_50M_150M,Random_50M_150M,23,544,12,2,16,16,2240,117.076,32,4292.5,4.118,0.167,1032
