protocol,split,variant,target,n,mape,mae,r2,spearman
new_batch_saved_models,42,architecture,tpot_ms,73,23.059670627117157,16.246353149414062,0.7756125330924988,0.9705047513266694
new_batch_saved_models,42,architecture_temp,tpot_ms,73,8.752571046352386,7.005129814147949,0.8784371614456177,0.9293163026039738
new_batch_saved_models,42,architecture,ttft_ms,73,18.820820748806,229.00546264648438,0.7018771171569824,0.9726256681893996
new_batch_saved_models,42,architecture_temp,ttft_ms,73,8.571838587522507,104.78400421142578,0.893600344657898,0.9476655842684738
new_batch_saved_models,42,architecture,dynamic_energy_per_token_mj,73,27.412551641464233,8.29386043548584,0.7722620964050293,0.973929408860916
new_batch_saved_models,42,architecture_temp,dynamic_energy_per_token_mj,73,18.76031905412674,5.456645488739014,0.8493503332138062,0.9545538689374308
new_batch_saved_models,123,architecture,tpot_ms,73,23.137755692005157,16.342191696166992,0.7705586552619934,0.9690546711094657
new_batch_saved_models,123,architecture_temp,tpot_ms,73,9.019730240106583,7.242072105407715,0.8712996244430542,0.9260459089226215
new_batch_saved_models,123,architecture,ttft_ms,73,18.667323887348175,227.14556884765625,0.7046380043029785,0.9739369210529835
new_batch_saved_models,123,architecture_temp,ttft_ms,73,8.395808190107346,101.40065002441406,0.8918699622154236,0.9509977091924043
new_batch_saved_models,123,architecture,dynamic_energy_per_token_mj,73,28.560182452201843,8.958492279052734,0.7236568927764893,0.9722633592496608
new_batch_saved_models,123,architecture_temp,dynamic_energy_per_token_mj,73,18.72406005859375,5.409363269805908,0.8496966361999512,0.9496174256448231
new_batch_saved_models,2026,architecture,tpot_ms,73,23.242762684822083,16.661117553710938,0.7561197280883789,0.9678205602863138
new_batch_saved_models,2026,architecture_temp,tpot_ms,73,8.660771697759628,6.903763294219971,0.8800196647644043,0.9253054424287301
new_batch_saved_models,2026,architecture,ttft_ms,73,18.78756880760193,225.4607696533203,0.7131294012069702,0.973181022343388
new_batch_saved_models,2026,architecture_temp,ttft_ms,73,8.337225764989853,99.78893280029297,0.8953851461410522,0.9514605043207283
new_batch_saved_models,2026,architecture,dynamic_energy_per_token_mj,73,27.61436104774475,8.400806427001953,0.7649204134941101,0.9755029001604345
new_batch_saved_models,2026,architecture_temp,dynamic_energy_per_token_mj,73,19.01332139968872,5.486805438995361,0.8496143221855164,0.9522090583734422
random,20260909,architecture,tpot_ms,188,23.364253342151642,12.945700645446777,0.78313809633255,0.8175564447195505
random,20260909,architecture,ttft_ms,188,19.86410617828369,202.07980346679688,0.7355303764343262,0.8637624361551436
random,20260909,architecture,dynamic_energy_per_token_mj,188,28.139707446098328,6.242725849151611,0.7609075307846069,0.8586075306976432
random,20260909,architecture_temp,tpot_ms,188,10.038518160581589,5.594649791717529,0.9357509613037109,0.9356047574060595
random,20260909,architecture_temp,ttft_ms,188,8.544866740703583,86.49618530273438,0.9119796752929688,0.9533328968949423
random,20260909,architecture_temp,dynamic_energy_per_token_mj,188,19.283276796340942,3.892500162124634,0.8690823912620544,0.9130009192587414
random,20260909,architecture_voltage_diagnostic,tpot_ms,188,22.408895194530487,12.451498985290527,0.7905948758125305,0.8268971502029149
