target,temp_min,temp_max_exclusive,n,median_actual_over_arch_prediction
tpot_ms,29,35,128,0.8190221445121522
tpot_ms,35,37,382,0.7880628426003184
tpot_ms,37,39,143,1.224622910484283
tpot_ms,39,40.01,283,1.3006240028105611
ttft_ms,29,35,128,0.8497803471798526
ttft_ms,35,37,382,0.8109089662586508
ttft_ms,37,39,143,1.2055930437756468
ttft_ms,39,40.01,283,1.2382802350317297
dynamic_energy_per_token_mj,29,35,128,0.849389101232767
dynamic_energy_per_token_mj,35,37,382,0.8321289583414941
dynamic_energy_per_token_mj,37,39,143,1.2118526184969582
dynamic_energy_per_token_mj,39,40.01,283,1.3260798402533134
