model,target,from_n,to_n,mean_mape_improvement_pp,min_split_improvement_pp,max_split_improvement_pp,splits_improved
transformer,tpot_ms,120,598,0.24063095450401306,-0.933365523815155,0.7547110319137573,4
transformer,tpot_ms,240,598,0.5567070841789246,-0.029231607913970947,1.2987010180950165,4
transformer,tpot_ms,480,598,-0.07126718759536743,-0.2242855727672577,0.1794874668121338,1
transformer,ttft_ms,120,598,1.7502769827842712,0.5357198417186737,2.9478535056114197,5
transformer,ttft_ms,240,598,0.7746656239032745,-0.03276318311691284,1.382794976234436,4
transformer,ttft_ms,480,598,-0.08504509925842285,-0.5765795707702637,0.32966360449790955,3
transformer,dynamic_energy_per_token_mj,120,598,2.8888222575187683,1.9571170210838318,4.016771912574768,5
transformer,dynamic_energy_per_token_mj,240,598,2.2008323669433594,1.2237831950187683,3.2478690147399902,5
transformer,dynamic_energy_per_token_mj,480,598,0.10953277349472046,-0.22360831499099731,0.5674570798873901,2
xgboost,tpot_ms,120,598,0.6533056497573853,-0.1802310347557068,1.574873924255371,4
xgboost,tpot_ms,240,598,0.4503723978996277,-0.0677645206451416,0.8523151278495789,4
xgboost,tpot_ms,480,598,0.05585402250289917,-0.3701120615005493,0.3580622375011444,3
xgboost,ttft_ms,120,598,0.9992001950740814,0.3630295395851135,1.6547083854675293,5
xgboost,ttft_ms,240,598,0.47882452607154846,-0.08277520537376404,0.8841030299663544,4
xgboost,ttft_ms,480,598,0.1349945366382599,-0.17631426453590393,0.3881879150867462,3
xgboost,dynamic_energy_per_token_mj,120,598,4.103207290172577,2.1054446697235107,7.370372116565704,5
xgboost,dynamic_energy_per_token_mj,240,598,1.670691967010498,0.9171351790428162,2.6204854249954224,5
xgboost,dynamic_energy_per_token_mj,480,598,0.2633434534072876,-0.20783990621566772,0.8068487048149109,3
