model,target,n_train,partition,mape_mean,mape_split_sd,mae_mean,mae_split_sd,log_rmse_mean,log_rmse_split_sd,r2_mean,r2_split_sd,spearman_mean,spearman_split_sd
transformer,tpot_ms,120,train,19.543579667806625,1.3894522350794933,11.377436923980714,1.14871315195531,0.23426953256130217,0.016947469518472785,0.7808695673942566,0.03507273549780695,0.8674269081875619,0.018731448549273517
transformer,tpot_ms,120,test,23.84248524904251,1.0143898051336318,14.121971321105956,0.5933906003354146,0.27773295491933825,0.01599714620855429,0.7147705018520355,0.029290659760349367,0.8243593075055985,0.02023042323244997
transformer,tpot_ms,240,train,20.413922369480133,1.0217075841741776,11.782533073425293,0.9742255204397232,0.23323622196912766,0.013016759567332649,0.8025536060333252,0.03478291934063573,0.8706835213446533,0.005612191060827869
transformer,tpot_ms,240,test,24.158561378717422,1.014384623651968,14.075144004821777,0.5951612271577582,0.26785427033901216,0.009289379635421416,0.7355013132095337,0.03347792627996517,0.8310707307855868,0.02506943969135966
transformer,tpot_ms,360,train,21.04032412171364,0.6487187197224585,11.87356185913086,0.23288297355047483,0.233043897151947,0.003232963042930988,0.8175871193408966,0.005977053093033073,0.8665535973195363,0.004228074106599737
transformer,tpot_ms,360,test,23.897342085838318,1.347480171753408,13.808923435211181,0.9422710686654596,0.2572115570306778,0.010016764037628372,0.756596964597702,0.04176230292360386,0.8385222601922777,0.022215444437051517
transformer,tpot_ms,480,train,21.094745695590973,0.5632092879951621,11.958564758300781,0.3961985240663438,0.2362128183245659,0.005214148836562869,0.8174994170665741,0.009238526419075965,0.8644051747361854,0.007645702205980904
transformer,tpot_ms,480,test,23.53058710694313,0.9642467316118333,13.728994178771973,0.7219007777077416,0.2562224417924881,0.009416478942443423,0.7614991188049316,0.04618256198484177,0.8399059401919635,0.02299742919636276
transformer,tpot_ms,598,train,21.392196714878082,0.614335553302154,12.112082195281982,0.26728049445392726,0.2365961804986,0.0037938853549854845,0.8211176991462708,0.004319743158360199,0.8626851982464674,0.007156319792624009
transformer,tpot_ms,598,test,23.601854294538498,0.8730160705595946,13.653016567230225,0.691356551069746,0.2556295394897461,0.008737181144787437,0.7704289615154266,0.04224131589381803,0.8378934061697996,0.021844233719353547
transformer,ttft_ms,120,train,17.681449055671692,1.4225753200351512,164.92311096191406,11.68776901578581,0.20523084104061126,0.012512428095144792,0.782307642698288,0.025904704603833442,0.8961084517235914,0.015346771794611646
transformer,ttft_ms,120,test,22.025510370731354,1.1382284308063368,204.47085571289062,13.489300519101045,0.249837264418602,0.012269603004367809,0.6751782119274139,0.05761132497164598,0.8474421792561205,0.01793574821221383
transformer,ttft_ms,240,train,17.349278926849365,0.932122611979633,164.8070495605469,11.818613637185509,0.19630076140165328,0.011091677174051243,0.8014670073986053,0.027578777847916933,0.9031134337488289,0.010284897762665769
transformer,ttft_ms,240,test,21.049899011850357,0.8128836310702392,195.20267181396486,9.688552370223984,0.23318886905908584,0.005821611990120849,0.7132667779922486,0.043508659236747196,0.8628699287860588,0.016369531336803
transformer,ttft_ms,360,train,17.949748635292053,0.6537566486441073,167.01531982421875,2.7814215589142472,0.19646891057491303,0.0055854519090927585,0.8000550210475922,0.013162463613396005,0.9027948567939813,0.0065803081942269
transformer,ttft_ms,360,test,20.60294598340988,1.0827709363787723,188.53783721923827,8.72030317377267,0.22190155684947968,0.00474719492157227,0.7440837383270263,0.037300426101325265,0.876972278227622,0.013460714814560881
transformer,ttft_ms,480,train,17.889689207077026,0.5852618057204262,169.6519744873047,6.587017995530989,0.19720360934734343,0.007435669658825332,0.7982419312000275,0.01575786383754073,0.9015326248438926,0.007836799845649946
transformer,ttft_ms,480,test,20.19018828868866,0.7420640486372905,189.37293090820313,7.646943959563335,0.21899086385965347,0.005845302404690981,0.7415763914585114,0.03979571841582128,0.874685725991393,0.01435836016934718
transformer,ttft_ms,598,train,18.14253330230713,0.7858539001940462,171.75339965820314,5.007045878178988,0.19708476960659027,0.005330817673913356,0.7972286224365235,0.01088547710676717,0.9021110950089923,0.006028037914731964
transformer,ttft_ms,598,test,20.275233387947083,0.6104463056470197,189.9034225463867,6.667442243766181,0.21724061220884322,0.005018460993368156,0.7469124853610992,0.03905795265744674,0.8788349672628997,0.01396231625771545
transformer,dynamic_energy_per_token_mj,120,train,28.745933920145035,5.339717190295028,5.610455274581909,0.6462013669753354,0.3505085349082947,0.0472335429465359,0.8009188234806061,0.0336451877921585,0.8896902562677962,0.018166721686910112
transformer,dynamic_energy_per_token_mj,120,test,33.72630089521408,5.4853108824524055,7.063389825820923,0.36234345514411165,0.3987836420536041,0.039946106665322986,0.7160999715328217,0.03056050707411865,0.8573978656581909,0.021690058763308283
transformer,dynamic_energy_per_token_mj,240,train,30.64615547657013,4.5723564911541486,5.889566087722779,0.5482917770901898,0.35793512463569643,0.04176149126142368,0.8013882994651794,0.02751850977606115,0.8881835622146216,0.007007857219667193
transformer,dynamic_energy_per_token_mj,240,test,33.03831100463867,4.708471091804544,6.895754337310791,0.38242184596138745,0.37980792224407195,0.03691971791364544,0.7264675378799439,0.051385865805495146,0.8640289900615306,0.02069568083147238
transformer,dynamic_energy_per_token_mj,360,train,30.765900015830994,2.2318816805675183,5.86315393447876,0.1309771493809481,0.35939857363700867,0.016652290498116035,0.8042410850524903,0.016088531159645526,0.8817806063296534,0.0021492780966032446
transformer,dynamic_energy_per_token_mj,360,test,31.75583451986313,5.239589800505756,6.626013517379761,0.4749540919934418,0.36168491244316103,0.03793030277492405,0.7457156300544738,0.06004726400825367,0.8714667182730749,0.017414670950967145
transformer,dynamic_energy_per_token_mj,480,train,30.973956286907196,0.48062199510071346,5.821225023269653,0.19336602568962247,0.36343100368976594,0.00868050146620712,0.808334743976593,0.009339165990630966,0.8810887295989381,0.007311921255521849
transformer,dynamic_energy_per_token_mj,480,test,30.947011411190033,4.671050905884604,6.507433748245239,0.4800070763512637,0.35810902416706086,0.03570074259461412,0.7554443001747131,0.06683530203918384,0.8738276742031434,0.018318492314148237
transformer,dynamic_energy_per_token_mj,598,train,30.448784232139587,0.45367398021596095,5.829596710205078,0.062010888089811526,0.35550761222839355,0.004883535804773435,0.8151375353336334,0.008567698255668037,0.8846437666491933,0.004934590364234812
transformer,dynamic_energy_per_token_mj,598,test,30.837478637695312,4.868537022951507,6.456971263885498,0.4445086632864544,0.3563525199890137,0.038703259448303926,0.7607873737812042,0.06124974274824837,0.8748314541806405,0.020063949773631896
xgboost,tpot_ms,120,train,15.992130190134048,1.7359061693263687,8.74692144393921,1.150837717879793,0.18080014139413833,0.0185505510220949,0.8793098866939545,0.020078797982820074,0.912339881400643,0.015220119231507838
xgboost,tpot_ms,120,test,23.59865128993988,0.4236362317395173,13.578109741210938,0.43699340602598663,0.26586001813411714,0.006712339869122376,0.7270958483219147,0.03198598123780853,0.8193490614533923,0.019845388447858
xgboost,tpot_ms,240,train,18.503388315439224,0.733450177250219,10.200607967376708,0.4911585568876139,0.20246746391057968,0.008033271584133403,0.8679463565349579,0.01013477460979583,0.8944809560862703,0.0061478711646372995
xgboost,tpot_ms,240,test,23.395718038082123,0.6538706677976376,13.191510581970215,0.3458463915501576,0.2529312327504158,0.003931812513298337,0.7770282924175262,0.023744060995607094,0.8302631114064114,0.018142443016182556
xgboost,tpot_ms,360,train,19.244040846824646,0.6848028969762802,10.58150691986084,0.48974216352645533,0.20848283171653748,0.008919156299269291,0.8661861479282379,0.018634541352897407,0.887812963617205,0.008839675339698306
xgboost,tpot_ms,360,test,23.223649114370346,0.6636646542459176,13.087795734405518,0.2806970595994081,0.24821963608264924,0.005433911472739939,0.7920877456665039,0.019293340258787983,0.8362144996242316,0.01983589034348977
xgboost,tpot_ms,480,train,19.72430557012558,0.8481387865641771,10.862047863006591,0.5812351198266826,0.21275832802057265,0.009946494098581095,0.8620055377483368,0.01658047358408063,0.8841181317836477,0.009221709215780402
xgboost,tpot_ms,480,test,23.001199662685394,0.8237009446268349,12.895749473571778,0.3160504902026713,0.24516614377498627,0.007677691814665392,0.8062789380550385,0.02507353124016721,0.8363323277940946,0.02059935615383981
xgboost,tpot_ms,598,train,19.960933923721313,1.1330980886357036,11.030618476867676,0.8055335252204527,0.21435224115848542,0.011571246600751003,0.8630852341651917,0.01971957323577617,0.8818731803223351,0.011957182194119165
xgboost,tpot_ms,598,test,22.945345640182495,0.5401065396434706,12.775022315979005,0.25683435952366535,0.24368866533041,0.004163078714604485,0.815590214729309,0.022980015787895193,0.8363672174255278,0.01693595078235069
xgboost,ttft_ms,120,train,11.31914272904396,1.1661609311942218,109.22210311889648,9.967127058154333,0.1314436227083206,0.012083503651560301,0.9024818181991577,0.01770758861097646,0.9533056780695024,0.008593012963755881
xgboost,ttft_ms,120,test,20.585376620292664,0.6230670379953123,195.09418792724608,12.461513699362236,0.2359279900789261,0.01022671840092425,0.7097254633903504,0.03815457540914184,0.8473224857426856,0.022912998756785874
xgboost,ttft_ms,240,train,14.207067489624023,0.6717781892788683,138.83955078125,7.189708558041037,0.15788522660732268,0.005224247427219906,0.8686844050884247,0.011996157198462244,0.9349227379195041,0.0029825791840532327
xgboost,ttft_ms,240,test,20.06500095129013,0.48197709279443185,189.82545013427733,11.006898136150806,0.22227081507444382,0.008260980577943052,0.7481173634529114,0.02829277187754169,0.8649313610421846,0.013369804840007804
