config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
RND_1001,Random_50M_150M,24,608,4,4,16,64,1760,13.1400,1831.00,76.10,4.1902,0.2995,0.5772,1.0346,0.2778,2.4188,36.3736,35.4,35.4,0,1900.8,4.420,
RND_1002,Random_50M_150M,22,320,4,1,16,64,1760,20.0600,960.00,49.85,2.5054,0.2792,0.5548,0.7159,0.2756,1.3900,21.5813,34.4,34.0,0,1900.8,4.417,
RND_1003,Random_50M_150M,28,320,16,8,32,32,1312,18.8100,1150.00,53.16,2.7981,0.3400,0.6431,0.9124,0.3031,1.7995,26.5065,34.4,35.4,0,1900.8,4.405,
RND_1004,Random_50M_150M,4,576,16,4,32,64,2944,10.3900,405.00,96.25,3.3886,0.2584,0.5510,0.9151,0.2925,1.8670,30.9781,35.1,35.1,0,1900.8,4.406,
RND_1005,Random_50M_150M,26,576,8,2,32,48,1184,16.1700,1415.00,61.84,3.3321,0.2400,0.5216,0.8152,0.2816,1.7380,29.3208,35.1,35.7,0,1900.8,4.404,
RND_1006,Random_50M_150M,23,512,8,2,48,48,1536,6.4600,1043.00,154.80,5.8418,0.2631,0.6112,1.1781,0.3481,3.5704,63.5503,35.4,37.1,0,1900.8,4.398,
RND_1007,Random_50M_150M,25,512,12,3,48,32,2624,4.0000,1947.00,250.00,9.6970,0.2523,0.6620,1.0099,0.4097,6.4195,124.1602,35.7,36.8,0,1900.8,4.386,
RND_1008,Random_50M_150M,25,416,2,1,48,64,896,26.2500,710.00,38.10,1.8910,0.2402,0.5037,0.7586,0.2636,0.9525,15.5743,37.8,36.8,0,1900.8,4.370,
RND_1009,Random_50M_150M,13,416,16,16,64,32,2016,19.8000,1059.00,50.51,2.6247,0.2447,0.5616,0.8652,0.3169,1.4741,25.9946,37.1,37.5,0,1900.8,4.383,
RND_1010,Random_50M_150M,21,448,4,1,48,16,2464,17.0200,1521.00,58.75,3.3424,0.3007,0.5671,0.9664,0.2664,1.8953,27.8231,37.1,37.8,0,1900.8,4.381,
RND_1011,Random_50M_150M,16,480,4,4,16,48,2624,16.6300,1295.00,60.13,3.1591,0.2654,0.5524,0.9802,0.2871,1.7452,28.3398,37.5,39.2,0,1900.8,4.378,
RND_1012,Random_50M_150M,4,640,6,2,32,64,2272,33.8400,417.00,29.55,1.3331,0.2433,0.4882,0.7533,0.2449,0.6507,10.2018,38.5,38.8,0,1900.8,4.374,
RND_1013,Random_50M_150M,20,384,16,16,32,48,832,9.2900,784.00,107.64,4.1209,0.2559,0.6149,0.8617,0.3590,2.5339,46.2326,39.2,38.5,0,1900.8,4.373,
RND_1014,Random_50M_150M,19,640,12,12,64,64,1440,12.1000,2046.00,82.64,4.6080,0.2710,0.6892,0.9478,0.4182,3.1757,60.2237,39.2,38.8,0,1900.8,4.367,
RND_1015,Random_50M_150M,7,576,6,1,64,64,2336,24.7000,670.00,40.49,1.9251,0.2546,0.4357,0.6680,0.1811,0.8387,10.8945,38.5,38.5,0,1900.8,4.362,
RND_1016,Random_50M_150M,21,448,2,1,16,64,1376,23.7500,872.00,42.11,2.1773,0.3101,0.4905,0.7629,0.1804,1.0680,12.2730,38.8,39.2,0,1900.8,4.362,
RND_1017,Random_50M_150M,24,576,2,1,32,64,1728,5.6300,1267.00,177.62,6.7732,0.2775,0.6267,0.8282,0.3492,4.2450,73.9149,39.2,39.2,0,1900.8,4.356,
RND_1018,Random_50M_150M,21,384,4,4,64,48,992,24.1100,695.00,41.48,1.9808,0.3347,0.5041,0.7059,0.1693,0.9984,10.4814,39.2,39.8,0,1900.8,4.353,
RND_1019,Random_50M_150M,25,576,6,2,48,48,2368,11.3300,2304.00,88.26,5.0401,0.2815,0.5967,0.8556,0.3151,3.0073,49.6359,39.5,39.8,0,1900.8,4.344,
