config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
RND_0001,Random_50M_150M,14,608,8,4,48,16,1376,22.9100,878.00,43.65,2.2311,0.2749,0.4534,0.6736,0.1785,1.0115,12.4439,33.4,33.4,0,1900.8,4.428,
RND_0003,Random_50M_150M,22,576,8,4,16,64,2784,10.9400,2273.00,91.41,5.1066,0.2557,0.6198,1.0324,0.3641,3.1652,58.1040,35.1,36.1,0,1900.8,4.405,
RND_0004,Random_50M_150M,15,608,12,12,64,64,2240,13.8100,1956.00,72.41,4.2008,0.2997,0.5540,0.7817,0.2543,2.3271,33.3809,36.4,37.1,0,1900.8,4.401,
RND_0005,Random_50M_150M,19,544,2,1,64,64,2560,15.3500,1700.00,65.15,3.7195,0.2801,0.5737,0.7912,0.2936,2.1339,34.1297,36.8,37.8,0,1900.8,4.391,
RND_0006,Random_50M_150M,27,416,12,3,64,64,512,21.2300,967.00,47.10,2.4272,0.2833,0.5127,0.8268,0.2293,1.2443,17.3935,38.1,38.5,0,1900.8,4.390,
RND_0007,Random_50M_150M,26,448,4,1,48,16,1824,16.5300,1382.00,60.50,3.2574,0.2434,0.5826,0.9563,0.3392,1.8979,34.5326,37.8,38.1,0,1900.8,4.389,
RND_0008,Random_50M_150M,7,640,6,6,16,32,2624,8.9200,637.00,112.11,4.1123,0.2834,0.5972,0.8781,0.3139,2.4560,40.3368,38.5,39.2,0,1900.8,4.383,
RND_0009,Random_50M_150M,10,576,2,1,48,48,2304,22.5300,821.00,44.39,2.1969,0.2809,0.4785,0.7534,0.1976,1.0512,13.5659,38.8,38.8,0,1900.8,4.374,
RND_0010,Random_50M_150M,10,640,2,1,48,16,2144,24.1200,956.00,41.46,2.2412,0.4066,0.4723,0.7947,0.0657,1.0585,4.5991,38.8,39.2,0,1900.8,4.373,
RND_0012,Random_50M_150M,28,384,1,1,16,64,1088,9.7800,592.00,102.25,3.7617,0.2343,0.6384,0.8831,0.4041,2.4013,47.4980,39.8,39.8,0,1900.8,4.363,
RND_0013,Random_50M_150M,15,544,12,2,64,16,2592,15.1700,1446.00,65.92,3.4895,0.2783,0.5463,1.0725,0.2681,1.9063,29.2308,39.8,41.5,0,1900.8,4.361,
RND_0014,Random_50M_150M,18,352,12,6,16,48,1920,19.8800,933.00,50.30,2.4924,0.2966,0.5631,0.9014,0.2665,1.4035,20.7558,39.8,41.5,0,1900.8,4.350,
RND_0015,Random_50M_150M,15,416,6,1,16,64,1888,22.8600,823.00,43.74,2.1791,0.2398,0.5224,0.8022,0.2826,1.1384,19.2470,39.8,40.5,0,1900.8,4.347,
RND_0017,Random_50M_150M,14,480,16,8,16,16,2336,20.5300,1107.00,48.71,2.6170,0.2388,0.5349,0.7457,0.2960,1.3997,24.2109,39.8,40.5,0,1900.8,4.335,
RND_0018,Random_50M_150M,26,480,8,4,32,64,1120,17.1100,1237.00,58.45,3.0488,0.3050,0.5841,1.0115,0.2791,1.7808,26.5878,39.5,42.2,0,1900.8,4.321,
RND_0019,Random_50M_150M,9,480,2,2,64,32,2144,26.4300,615.00,37.84,1.7879,0.2907,0.4464,0.7410,0.1557,0.7982,8.6997,39.8,40.9,0,1900.8,4.316,
RND_0020,Random_50M_150M,12,448,4,1,16,16,1664,11.3000,439.00,88.50,3.1824,0.2666,0.5773,0.8738,0.3107,1.8373,30.8988,39.5,40.9,0,1900.8,4.298,
RND_0021,Random_50M_150M,13,416,12,2,64,16,1728,24.1200,693.00,41.46,1.9782,0.2753,0.5029,0.8363,0.2277,0.9949,14.0746,39.5,41.2,0,1900.8,4.291,
RND_0022,Random_50M_150M,21,384,6,1,32,64,1760,22.6800,1017.00,44.09,2.3838,0.2580,0.5681,0.9196,0.3101,1.3543,23.0991,39.8,41.9,0,1900.8,4.281,
RND_0023,Random_50M_150M,11,608,8,2,64,16,1792,23.3600,869.00,42.81,2.1961,0.2640,0.4754,0.7605,0.2114,1.0440,14.5108,39.8,41.2,0,1900.8,4.277,
RND_0024,Random_50M_150M,20,480,12,6,48,16,1440,19.5300,1148.00,51.20,2.7353,0.2854,0.5314,0.7092,0.2460,1.4535,21.0255,39.8,41.9,0,1900.8,4.262,
RND_0025,Random_50M_150M,6,576,1,1,64,64,2272,28.8400,508.00,34.67,1.5829,0.2992,0.4500,0.7603,0.1508,0.7123,7.4604,39.8,40.5,0,1900.8,4.249,
RND_0026,Random_50M_150M,21,480,16,4,48,64,1280,16.8500,1387.00,59.35,3.2268,0.4968,0.5897,1.0354,0.0929,1.9029,9.3673,39.8,40.9,0,1900.8,4.237,
RND_0027,Random_50M_150M,15,544,6,3,16,64,2368,16.7700,1305.00,59.63,3.1535,0.2841,0.5565,1.2429,0.2724,1.7549,26.8449,39.8,40.9,0,1900.8,4.221,
RND_0028,Random_50M_150M,26,640,12,3,32,16,1504,12.6500,1864.00,79.05,4.3146,0.2753,0.5804,0.9346,0.3051,2.5043,41.1345,39.8,40.9,0,1900.8,4.202,
RND_0029,Random_50M_150M,24,544,8,2,48,32,1472,16.1600,1433.00,61.88,3.3513,0.2839,0.5514,0.8921,0.2675,1.8480,28.0183,39.8,41.2,0,1900.8,4.189,
RND_0030,Random_50M_150M,16,544,16,4,64,64,2560,13.0100,1929.00,76.86,4.3118,0.2916,0.6022,0.9304,0.3106,2.5966,41.8520,39.8,40.9,0,1900.8,4.172,
RND_0031,Random_50M_150M,27,320,6,3,16,64,1312,22.9300,999.00,43.61,2.3509,0.3132,0.5607,0.9395,0.2474,1.3182,18.1789,39.8,41.2,0,1900.8,4.162,
RND_0032,Random_50M_150M,24,480,16,16,64,48,1536,5.7000,2190.00,175.44,7.6286,0.2742,0.7234,1.1735,0.4492,5.5183,107.0852,39.8,42.2,0,1900.8,4.139,
RND_0033,Random_50M_150M,26,352,2,1,64,16,1632,19.5100,1002.00,51.26,2.5909,0.2847,0.6006,0.9941,0.3159,1.5562,25.5794,39.8,40.5,0,1900.8,4.132,
RND_0034,Random_50M_150M,14,608,1,1,64,32,1408,24.0700,804.00,41.55,2.0919,0.2863,0.4624,0.7062,0.1761,0.9672,11.5110,39.8,40.5,0,1900.8,4.113,
RND_0035,Random_50M_150M,13,640,2,1,48,64,1376,25.3700,782.00,39.42,2.0039,0.2428,0.4361,0.6472,0.1934,0.8740,12.1097,39.8,41.2,0,1900.8,4.100,
RND_0036,Random_50M_150M,8,640,8,1,48,32,3264,7.1600,855.00,139.66,5.1846,0.2947,0.5835,0.9137,0.2888,3.0254,46.7916,39.5,41.9,0,1900.8,4.084,
RND_0037,Random_50M_150M,26,448,2,1,64,16,2144,14.9100,1556.00,67.07,3.6351,0.3148,0.7469,1.1450,0.4321,2.7151,49.0834,39.8,41.5,0,1900.8,4.065,
