config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
RND_0001,Random_50M_150M,14,608,8,4,48,16,1376,35.1300,613.00,28.47,1.0400,0.1658,0.2786,0.3803,0.1129,0.2898,7.3374,37.1,33.0,0,1900.8,4.409,
RND_0002,Random_50M_150M,25,512,1,1,16,32,1152,34.8000,652.00,28.74,1.0830,0.1289,0.2822,0.4256,0.1533,0.3057,10.3757,32.7,34.4,0,1900.8,4.397,
RND_0003,Random_50M_150M,22,576,8,4,16,64,2784,17.4000,1601.00,57.47,2.4631,0.1265,0.3499,0.5976,0.2233,0.8617,34.3787,34.0,34.4,0,1900.8,4.383,
RND_0004,Random_50M_150M,15,608,12,12,64,64,2240,22.4600,1248.00,44.52,1.9159,0.1304,0.3034,0.4381,0.1730,0.5813,20.7147,33.7,34.0,0,1900.8,4.377,
RND_0005,Random_50M_150M,19,544,2,1,64,64,2560,24.1200,1123.00,41.46,1.7449,0.1107,0.2810,0.3746,0.1703,0.4904,18.5774,34.7,34.7,0,1900.8,4.370,
RND_0006,Random_50M_150M,27,416,12,3,64,64,512,36.6700,608.00,27.27,1.0171,0.1088,0.2985,0.4361,0.1897,0.3036,12.0594,34.7,34.0,0,1900.8,4.365,
RND_0007,Random_50M_150M,26,448,4,1,48,16,1824,27.9900,973.00,35.73,1.5089,0.1226,0.2884,0.5798,0.1658,0.4351,15.6347,33.7,34.0,0,1900.8,4.366,
RND_0008,Random_50M_150M,7,640,6,6,16,32,2624,13.6600,412.00,73.21,1.5101,0.1118,0.2805,0.4949,0.1687,0.4236,15.9238,35.4,35.1,0,1900.8,4.370,
RND_0009,Random_50M_150M,10,576,2,1,48,48,2304,39.1600,556.00,25.54,0.9390,0.1194,0.4127,0.7588,0.2932,0.3875,17.2088,34.7,34.7,0,1900.8,4.360,
RND_0010,Random_50M_150M,10,640,2,1,48,16,2144,40.2100,592.00,24.87,0.9650,0.1051,0.3301,0.4286,0.2250,0.3185,13.5700,34.4,35.1,0,1900.8,4.354,
RND_0011,Random_50M_150M,19,608,2,1,64,64,2336,24.0800,1203.00,41.53,1.8259,0.1174,0.3070,0.4610,0.1896,0.5606,21.6394,34.4,35.1,0,1900.8,4.360,
RND_0012,Random_50M_150M,28,384,1,1,16,64,1088,15.4600,404.00,64.68,1.3742,0.1221,0.3134,0.5763,0.1913,0.4307,16.4308,34.7,35.4,0,1900.8,4.347,
RND_0013,Random_50M_150M,15,544,12,2,64,16,2592,27.6800,1049.00,36.13,1.5909,0.1382,0.2885,0.4128,0.1503,0.4590,14.9418,35.1,35.7,0,1900.8,4.347,
RND_0014,Random_50M_150M,18,352,12,6,16,48,1920,36.1400,648.00,27.67,1.0631,0.1381,0.2803,0.3887,0.1422,0.2980,9.4484,35.1,35.1,0,1900.8,4.342,
RND_0015,Random_50M_150M,15,416,6,1,16,64,1888,43.7300,553.00,22.87,0.8960,0.0918,0.2279,0.3026,0.1361,0.2042,7.6219,35.1,35.7,0,1900.8,4.343,
RND_0016,Random_50M_150M,17,512,2,2,16,16,2432,28.4600,897.00,35.14,1.4241,0.0981,0.2809,0.3799,0.1828,0.4000,16.2729,35.4,34.7,0,1900.8,4.334,
RND_0017,Random_50M_150M,14,480,16,8,16,16,2336,28.5200,767.00,35.06,1.2929,0.1090,0.2837,0.5370,0.1746,0.3667,14.1106,35.1,35.7,0,1900.8,4.334,
RND_0018,Random_50M_150M,26,480,8,4,32,64,1120,28.8500,789.00,34.66,1.3089,0.1263,0.3073,0.5011,0.1810,0.4022,14.8070,35.4,35.4,0,1900.8,4.329,
RND_0019,Random_50M_150M,9,480,2,2,64,32,2144,49.1800,428.00,20.33,0.7330,0.1238,0.2605,0.3839,0.1366,0.1909,6.2598,36.8,36.1,0,1900.8,4.320,
RND_0020,Random_50M_150M,12,448,4,1,16,16,1664,18.4700,357.00,54.14,1.1691,0.1635,0.4493,1.0656,0.2858,0.5253,20.8845,35.1,34.7,0,1900.8,4.323,
RND_0021,Random_50M_150M,13,416,12,2,64,16,1728,33.1900,607.00,30.13,1.0589,0.1261,0.2658,0.4121,0.1398,0.2815,9.2503,35.7,35.4,0,1900.8,4.328,
RND_0022,Random_50M_150M,21,384,6,1,32,64,1760,35.6300,707.00,28.07,1.1280,0.1130,0.2982,0.4283,0.1852,0.3364,13.0583,35.4,35.4,0,1900.8,4.312,
RND_0023,Random_50M_150M,11,608,8,2,64,16,1792,39.1600,581.00,25.54,0.9640,0.1052,0.2420,0.3224,0.1368,0.2333,8.2428,35.4,35.1,0,1900.8,4.315,
RND_0024,Random_50M_150M,20,480,12,6,48,16,1440,32.2600,748.00,31.00,1.2130,0.1131,0.3254,0.4373,0.2123,0.3947,16.0971,35.1,35.7,0,1900.8,4.313,
RND_0025,Random_50M_150M,6,576,1,1,64,64,2272,51.5500,333.00,19.40,0.6240,0.1176,0.2686,0.4747,0.1510,0.1676,5.8900,35.7,35.4,0,1900.8,4.306,
RND_0026,Random_50M_150M,21,480,16,4,48,64,1280,29.4100,918.00,34.00,1.4280,0.1006,0.2816,0.5427,0.1810,0.4021,16.1511,35.7,36.4,0,1900.8,4.300,
RND_0027,Random_50M_150M,15,544,6,3,16,64,2368,29.8800,999.00,33.47,1.5010,0.1153,0.3224,0.5391,0.2071,0.4840,19.4309,36.1,36.1,0,1900.8,4.303,
RND_0028,Random_50M_150M,26,640,12,3,32,16,1504,21.8300,1235.00,45.81,1.9221,0.0956,0.3023,0.5611,0.2067,0.5812,24.8370,36.4,35.7,0,1900.8,4.295,
RND_0029,Random_50M_150M,24,544,8,2,48,32,1472,24.3100,954.00,41.14,1.5710,0.1115,0.3341,0.5055,0.2226,0.5249,21.8578,36.1,36.1,0,1900.8,4.289,
RND_0030,Random_50M_150M,16,544,16,4,64,64,2560,21.2800,1289.00,46.99,1.9939,0.1395,0.3140,0.6130,0.1745,0.6261,21.7409,35.7,36.1,0,1900.8,4.285,
