target,candidate,features,params,cv_mape
tpot_ms,0,baseline,"{""max_depth"": 2, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",23.337242503960926
tpot_ms,1,baseline,"{""max_depth"": 2, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",23.703646163145702
tpot_ms,2,baseline,"{""max_depth"": 2, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",23.62348387638728
tpot_ms,3,baseline,"{""max_depth"": 2, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",23.94696722428004
tpot_ms,4,baseline,"{""max_depth"": 4, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",23.59587252140045
tpot_ms,5,baseline,"{""max_depth"": 4, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",24.103522797425587
tpot_ms,6,baseline,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",23.19602221250534
tpot_ms,7,baseline,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",24.06705766916275
tpot_ms,8,baseline,"{""max_depth"": 6, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",23.82379670937856
tpot_ms,9,baseline,"{""max_depth"": 6, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",23.889003197352093
tpot_ms,10,baseline,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",22.962478299935658
tpot_ms,11,baseline,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",23.79651168982188
tpot_ms,12,physics,"{""max_depth"": 2, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",23.80070040623347
tpot_ms,13,physics,"{""max_depth"": 2, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",23.199819028377533
tpot_ms,14,physics,"{""max_depth"": 2, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",23.7316091855367
tpot_ms,15,physics,"{""max_depth"": 2, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",23.430201907952625
tpot_ms,16,physics,"{""max_depth"": 4, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",24.019052584966023
tpot_ms,17,physics,"{""max_depth"": 4, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",24.00083641211192
tpot_ms,18,physics,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",23.42575639486313
tpot_ms,19,physics,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",23.90736887852351
tpot_ms,20,physics,"{""max_depth"": 6, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",24.438864489396412
