seed,target,state,signed_log_residual_spearman
42,tpot_ms,temp_cpu_start_c,-0.6797573129026278
42,tpot_ms,voltage_v,-0.18778334991456985
42,ttft_ms,temp_cpu_start_c,-0.6493016182902827
42,ttft_ms,voltage_v,-0.2336457923912166
42,dynamic_energy_per_token_mj,temp_cpu_start_c,-0.5501397883792425
42,dynamic_energy_per_token_mj,voltage_v,-0.19136020142772256
123,tpot_ms,temp_cpu_start_c,-0.6785980428043291
123,tpot_ms,voltage_v,-0.18787906974804475
123,ttft_ms,temp_cpu_start_c,-0.656902088572834
123,ttft_ms,voltage_v,-0.23291344536340372
123,dynamic_energy_per_token_mj,temp_cpu_start_c,-0.5471745743040505
123,dynamic_energy_per_token_mj,voltage_v,-0.2024185512459673
2026,tpot_ms,temp_cpu_start_c,-0.6802699091223318
2026,tpot_ms,voltage_v,-0.19563869738059234
2026,ttft_ms,temp_cpu_start_c,-0.6498041814878928
2026,ttft_ms,voltage_v,-0.23557102526827836
2026,dynamic_energy_per_token_mj,temp_cpu_start_c,-0.5492815089437593
2026,dynamic_energy_per_token_mj,voltage_v,-0.19694807246114557
