variant,seed,target,feature,normalized_gain
baseline,42,tpot_ms,n_layer,0.05562642589211464
baseline,42,tpot_ms,d_model,0.012579775415360928
baseline,42,tpot_ms,n_h,0.02218608930706978
baseline,42,tpot_ms,n_kv,0.016077488660812378
baseline,42,tpot_ms,d_qk,0.014612005092203617
baseline,42,tpot_ms,d_v,0.015198024921119213
baseline,42,tpot_ms,d_mlp,0.014820167794823647
baseline,42,tpot_ms,total_params_M,0.14743849635124207
baseline,42,tpot_ms,q8_group_size,0.6127469539642334
baseline,42,tpot_ms,layer_size_kb,0.01708509400486946
baseline,42,tpot_ms,mlp_ratio,0.015738507732748985
baseline,42,tpot_ms,kv_ratio,0.009832057170569897
baseline,42,tpot_ms,kv_bytes_per_token,0.020034359768033028
baseline,42,tpot_ms,attention_width,0.026024576276540756
baseline,42,ttft_ms,n_layer,0.12121052294969559
baseline,42,ttft_ms,d_model,0.05964239686727524
baseline,42,ttft_ms,n_h,0.02190014161169529
baseline,42,ttft_ms,n_kv,0.015907669439911842
baseline,42,ttft_ms,d_qk,0.0058474065735936165
baseline,42,ttft_ms,d_v,0.011933716014027596
baseline,42,ttft_ms,d_mlp,0.026913782581686974
baseline,42,ttft_ms,total_params_M,0.34776636958122253
baseline,42,ttft_ms,q8_group_size,0.07479672878980637
baseline,42,ttft_ms,layer_size_kb,0.2343735247850418
baseline,42,ttft_ms,mlp_ratio,0.02131642960011959
baseline,42,ttft_ms,kv_ratio,0.01452593132853508
baseline,42,ttft_ms,kv_bytes_per_token,0.021368103101849556
baseline,42,ttft_ms,attention_width,0.02249716967344284
baseline,42,dynamic_energy_per_token_mj,n_layer,0.10711555927991867
baseline,42,dynamic_energy_per_token_mj,d_model,0.06161506846547127
baseline,42,dynamic_energy_per_token_mj,n_h,0.05476630479097366
baseline,42,dynamic_energy_per_token_mj,n_kv,0.01240325253456831
baseline,42,dynamic_energy_per_token_mj,d_qk,0.017057541757822037
baseline,42,dynamic_energy_per_token_mj,d_v,0.014186493121087551
baseline,42,dynamic_energy_per_token_mj,d_mlp,0.019425496459007263
baseline,42,dynamic_energy_per_token_mj,total_params_M,0.28081345558166504
baseline,42,dynamic_energy_per_token_mj,q8_group_size,0.30450448393821716
