variant,params,validation_standardized_log_mse
baseline,"{""max_depth"": 2, ""min_child_weight"": 3, ""reg_lambda"": 5}",0.2466825693845749
baseline,"{""max_depth"": 3, ""min_child_weight"": 3, ""reg_lambda"": 5}",0.25246167182922363
baseline,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 10}",0.25544145703315735
baseline,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 10}",0.2610507309436798
compute,"{""max_depth"": 2, ""min_child_weight"": 3, ""reg_lambda"": 5}",0.2490910142660141
compute,"{""max_depth"": 3, ""min_child_weight"": 3, ""reg_lambda"": 5}",0.24852876365184784
compute,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 10}",0.24712595343589783
compute,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 10}",0.24921822547912598
memory,"{""max_depth"": 2, ""min_child_weight"": 3, ""reg_lambda"": 5}",0.2530338168144226
memory,"{""max_depth"": 3, ""min_child_weight"": 3, ""reg_lambda"": 5}",0.24966007471084595
memory,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 10}",0.24940426647663116
memory,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 10}",0.2524294853210449
kernel,"{""max_depth"": 2, ""min_child_weight"": 3, ""reg_lambda"": 5}",0.24450092017650604
kernel,"{""max_depth"": 3, ""min_child_weight"": 3, ""reg_lambda"": 5}",0.24495746195316315
kernel,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 10}",0.2462589144706726
kernel,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 10}",0.24935655295848846
all_physics,"{""max_depth"": 2, ""min_child_weight"": 3, ""reg_lambda"": 5}",0.25029417872428894
all_physics,"{""max_depth"": 3, ""min_child_weight"": 3, ""reg_lambda"": 5}",0.24951089918613434
all_physics,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 10}",0.24875488877296448
all_physics,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 10}",0.25002336502075195
